題號,類別,題目,解答
79,提出專利申請,申請書一定要填寫申請人及發明人(新型創作人、設計人)的身分證字號或統一編號嗎？,除外國籍人士無身分證字號或統一編號，由本局另行編碼外，本國申請人應填寫身分證字號或統一編號，如未填寫，審查人員將通知補正。如果在限期內沒有補正，本局將給予臨時編號或核對本局資料庫內容最相近的人別代為填寫，但可能因同名同姓而影響資料的正確性。本國發明人(新型創作人、設計人)可自由選擇是否提供身分證字號，如未提供，本局將另行編碼。
80,提出專利申請,申請書有填申請人的e-mail時，會用 e-mail聯絡申請人嗎？,本局對申請人申請之專利案，原則上以書面通知為準。
81,提出專利申請,發明或新型摘要應如何撰寫？,摘要，應簡要敘明發明或新型所揭露之內容，並以所欲解決之問題、解決問題之技術手段以及主要用途為限；其字數，以不超過250字為原則；發明有化學式者，應揭示最能顯示發明特徵之化學式。摘要不得記載商業性宣傳用語。如有英文摘要，請按中文摘要翻譯。
82,提出專利申請,請問專利申請案摘要的字數，一定要在250個字以內嗎？,發明或新型摘要係說明書之概括與提要，其目的在於以簡短之文字，載明發明或新型所要解決的技術問題、解決該問題之手段及主要用途，並可得知創作的基本內容，且在各國多作為技術公開或檢索之用，所以字數不宜太長，以不超過250字為原則。如摘要已簡要敘明所揭露創作內容之概要者，雖字數超過250字，本局將不會以此為由，通知申請人修正。
83,提出專利申請,何謂指定代表圖？智慧局可以更改申請人指定的代表圖嗎？,"(1) 發明或新型專利，圖式應依圖號順序排列，並指定最能代表該發明或新型技術特徵之圖式為代表圖(專利法施行細則第21條第4項、第45條準用21條)；設計專利，應指定立體圖或最能代表該設計之圖式為代表圖(細則第54條)。依前述規定所指定之圖即為指定代表圖。
(2) 指定代表圖之目的為公眾利用及審查人員檢索前案時，得以快速檢閱專利內容概要，因此一般國際規定，由申請人先行指定，再由審查人員審認其指定是否合宜，若申請人未指定或指定不當，審查人員為維護公眾利益，得予更改(專利法施行細則第21條第5項、第45條準用21條、第54條)。本局指定或修正後會通知申請人，申請人如認有不妥，可以申復，但仍由審查人員作最後決定。"
84,提出專利申請,發明、新型專利說明書如何撰寫？,"說明書應明確且充分揭露，使該發明或新型所屬技術領域中具有通常知識者，能瞭解其內容，並可據以實現。
發明或新型專利說明書應載明下列事項：
一、發明或新型名稱。
二、技術領域。
三、先前技術：申請人所知之先前技術，並得檢送該先前技術之相關資料。
四、發明或新型內容：發明或新型所欲解決之問題、解決問題之技術手段及對照先前技術之功效。
五、圖式簡單說明：有圖式者，應以簡明之文字依圖式之圖號順序說明圖式。
六、實施方式：記載一個以上之實施方式，必要時得以實施例說明；有圖式者，應參照圖式加以說明。
七、符號說明：有圖式者，應依圖號或符號順序列出圖式之主要符號並加以說明。
說明書應依前項各款所定順序及方式撰寫，並附加標題。但發明或新型之性質以其他方式表達較為清楚者，不在此限。
詳請參照本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知參閱發明、新型填寫範例。"
85,提出專利申請,申請專利之技術內容以化學式、數學式或表呈現時，應置於說明書或圖式？,化學式、數學式或表（table）等技術內容，若無法記載於說明書內文時，得加註如式一、表一等編號說明，記載於說明書之最後部分。若上述技術內容無法記載於說明書時，得記載於圖式中，惟應註明如圖一、圖二等圖號，並符合專利法施行細則有關圖式之相關規定。
86,提出專利申請,設計專利說明書如何撰寫？,"設計說明書及圖式應明確且充分揭露，使該設計所屬技藝領域中具有通常知識者，能瞭解其內容，並可據以實現。
設計專利說明書應載明下列事項：
一、設計名稱。
二、物品用途。
三、設計說明。
說明書應依前項各款所定順序及方式撰寫，並附加標題。但物品用途或設計說明已於設計名稱或圖式表達清楚者，得不記載。
詳請參照本局局網首頁→專利→進入專利主題網→申請專利→申請表格→專利申請表格暨申請須知參閱設計填寫範例。"
87,提出專利申請,說明書一定要有段落編號嗎？每一段都要有一個編號嗎？,"
(1) 目前並無強制說明書一定要有段落編號，但為利於審查、申復、修正或訂正時，載明或引用說明書中相關段落之需要，建議申請人最好於說明書各段落前，以置於中括號內之連續四位數之阿拉伯數字編號依序對應排列，如[0001]、[0002]、[0003]…等，以明確識別每一段落。
(2) 段落編號，顧名思義，即以每一段落文字依序編寫一段落編號為原則。惟申請人為求語意連貫，認為一段落須由數段落文字組合時，亦得以數段落之文字編寫一段落編號。如符號說明共用一段落編號即可，無須每一符號編寫一段落編號。
"
88,提出專利申請,為什麼依智慧局的說明書格式編寫段落編號時，超過第100段後會變成5碼？,超過第100段後會變成5碼，是使用WORD版本的問題，申請人於編寫說明書時如有上述問題，可至本局局網首頁→專利→進入專利主題網→申請專利→申請表單→ 其他參考注意事項之段落編號設定教學取得處理資訊。
89,提出專利申請,先用外文本送件，再補正中文本取得申請日，中文本和外文本的段落編號要一致嗎？,不需要。外文本之目的在確認取得申請日之技術揭露範圍，並非確認其格式是否與我國規定者一致，且外文本提出後不得修正，因此外文本未依專利法施行細則規定之標題、順序撰寫時，僅須補正之中文本依規定撰寫，並說明其內容不超出申請時外文本所揭露之範圍即可，不需中文本和外文本的段落編號一致。
90,提出專利申請,為何發明或新型專利說明書要載明有關的先前技術？,"載明先前技術的目的是使所屬技術領域中具有通常知識者能瞭解其內容，並可據以實施，同時，也讓本局審查人員能更正確判斷發明(新型)之背景與過程，縮短申請案審查之時程，並可讓該審查人員作為評估專利要件的參考。
專利申請人申請發明或新型專利時，應於說明書載明有關之先前技術，並得檢送該先前技術之相關資料。如為國內外專利資料者，請載明申請國別、案號及公開日期；如不屬專利資料者，請申請人能影印該等資料併同申請案提出；如屬著作物，則請載明作者、刊物名稱、出版者及出版日期。"
